n_secs,dim,filename,loca_type,data_split
20001,70,1.0inch-#2000_csv_Run-624.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-1788.parquet,1.5inch,train
20001,70,1.5inch-#2000_csv_Run-1771.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-875.parquet,0.5inch,train
20001,70,1.5inch-#2000_csv_Run-668.parquet,1.5inch,train
20001,70,1.5inch-#2000_csv_Run-115.parquet,1.5inch,train
18244,70,1.5inch-#2000_csv_Run-1787.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-1596.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-1902.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-531.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-1462.parquet,1.0inch,val
20001,70,1.0inch-#2000_csv_Run-070.parquet,1.0inch,val
20001,70,0.5inch-#2000_csv_Run-273.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-685.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-917.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-410.parquet,0.5inch,train
13213,70,1.5inch-#2000_csv_Run-1688.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-158.parquet,1.0inch,test
20001,70,1.0inch-#2000_csv_Run-1286.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-1780.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-1751.parquet,1.5inch,val
20001,70,1.5inch-#2000_csv_Run-1772.parquet,1.5inch,val
20001,70,1.0inch-#2000_csv_Run-778.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-1112.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-418.parquet,1.5inch,train
20001,70,1.5inch-#2000_csv_Run-1378.parquet,1.5inch,test
20001,70,1.0inch-#2000_csv_Run-1119.parquet,1.0inch,train
11082,70,1.5inch-#2000_csv_Run-1271.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-940.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-943.parquet,0.5inch,train
12956,70,1.5inch-#2000_csv_Run-1182.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-168.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-402.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-379.parquet,1.5inch,train
20001,70,1.5inch-#2000_csv_Run-1135.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-594.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-023.parquet,1.5inch,val
20001,70,1.0inch-#2000_csv_Run-485.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-1243.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-063.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-1357.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-1359.parquet,0.5inch,train
20001,70,1.5inch-#2000_csv_Run-1934.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-1382.parquet,0.5inch,train
20001,70,1.5inch-#2000_csv_Run-438.parquet,1.5inch,train
20001,70,1.5inch-#2000_csv_Run-814.parquet,1.5inch,train
20001,70,1.5inch-#2000_csv_Run-1365.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-715.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-1872.parquet,0.5inch,val
20001,70,0.5inch-#2000_csv_Run-874.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-032.parquet,1.0inch,test
20001,70,0.5inch-#2000_csv_Run-801.parquet,0.5inch,train
20001,70,1.5inch-#2000_csv_Run-995.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-1338.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-1869.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-990.parquet,0.5inch,train
20001,70,1.5inch-#2000_csv_Run-730.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-1821.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-866.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-1990.parquet,1.0inch,test
20001,70,1.5inch-#2000_csv_Run-308.parquet,1.5inch,val
20001,70,1.0inch-#2000_csv_Run-1504.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-2000.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-872.parquet,0.5inch,test
20001,70,1.0inch-#2000_csv_Run-1983.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-816.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-1600.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-555.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-1851.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-1816.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-808.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-754.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-199.parquet,1.0inch,train
13977,70,1.5inch-#2000_csv_Run-453.parquet,1.5inch,val
20001,70,0.5inch-#2000_csv_Run-1580.parquet,0.5inch,val
20001,70,0.5inch-#2000_csv_Run-826.parquet,0.5inch,train
20001,70,1.5inch-#2000_csv_Run-260.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-1841.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-1366.parquet,1.0inch,val
20001,70,1.0inch-#2000_csv_Run-1301.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-484.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-1952.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-1507.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-1680.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-1046.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-453.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-1779.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-1912.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-756.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-741.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-294.parquet,1.0inch,train
11734,70,1.5inch-#2000_csv_Run-1955.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-1714.parquet,0.5inch,test
20001,70,0.5inch-#2000_csv_Run-1699.parquet,0.5inch,train
20001,70,1.5inch-#2000_csv_Run-468.parquet,1.5inch,test
20001,70,1.0inch-#2000_csv_Run-132.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-597.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-1195.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-414.parquet,0.5inch,train
20001,70,1.5inch-#2000_csv_Run-1672.parquet,1.5inch,val
20001,70,1.0inch-#2000_csv_Run-869.parquet,1.0inch,train
10790,70,1.5inch-#2000_csv_Run-1234.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-1222.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-1786.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-1658.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-1894.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-1991.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-625.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-732.parquet,1.5inch,val
20001,70,1.5inch-#2000_csv_Run-1015.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-128.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-1586.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-407.parquet,1.5inch,val
20001,70,1.5inch-#2000_csv_Run-026.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-842.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-1265.parquet,0.5inch,train
20001,70,1.5inch-#2000_csv_Run-149.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-107.parquet,0.5inch,test
20001,70,0.5inch-#2000_csv_Run-1659.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-1804.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-940.parquet,1.0inch,val
20001,70,1.5inch-#2000_csv_Run-1308.parquet,1.5inch,train
20001,70,1.5inch-#2000_csv_Run-347.parquet,1.5inch,train
20001,70,1.5inch-#2000_csv_Run-873.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-1817.parquet,0.5inch,val
20001,70,1.5inch-#2000_csv_Run-1544.parquet,1.5inch,train
20001,70,1.5inch-#2000_csv_Run-644.parquet,1.5inch,train
20001,70,1.5inch-#2000_csv_Run-1030.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-1980.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-876.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-804.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-1184.parquet,0.5inch,train
20001,70,1.5inch-#2000_csv_Run-1834.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-1953.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-1563.parquet,0.5inch,test
20001,70,0.5inch-#2000_csv_Run-312.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-1160.parquet,0.5inch,train
20001,70,1.5inch-#2000_csv_Run-223.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-1072.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-1023.parquet,1.5inch,val
20001,70,0.5inch-#2000_csv_Run-1484.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-567.parquet,1.0inch,test
20001,70,0.5inch-#2000_csv_Run-1313.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-513.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-234.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-1168.parquet,1.0inch,val
20001,70,1.0inch-#2000_csv_Run-1200.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-1731.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-021.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-1892.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-1720.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-605.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-1668.parquet,1.5inch,train
20001,70,1.5inch-#2000_csv_Run-971.parquet,1.5inch,train
20001,70,1.5inch-#2000_csv_Run-1302.parquet,1.5inch,train
20001,70,1.5inch-#2000_csv_Run-053.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-1623.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-759.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-1788.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-1679.parquet,0.5inch,train
20001,70,1.5inch-#2000_csv_Run-882.parquet,1.5inch,val
20001,70,1.5inch-#2000_csv_Run-954.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-1669.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-1550.parquet,0.5inch,val
20001,70,0.5inch-#2000_csv_Run-998.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-1835.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-241.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-1761.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-589.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-090.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-070.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-776.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-448.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-1226.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-1391.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-1698.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-730.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-349.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-829.parquet,1.0inch,val
20001,70,1.0inch-#2000_csv_Run-949.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-1090.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-1466.parquet,0.5inch,test
18395,70,1.5inch-#2000_csv_Run-831.parquet,1.5inch,train
20001,70,1.5inch-#2000_csv_Run-1623.parquet,1.5inch,val
20001,70,1.0inch-#2000_csv_Run-1003.parquet,1.0inch,train
11900,70,1.5inch-#2000_csv_Run-1915.parquet,1.5inch,train
20001,70,1.5inch-#2000_csv_Run-823.parquet,1.5inch,val
20001,70,0.5inch-#2000_csv_Run-525.parquet,0.5inch,train
15818,70,1.5inch-#2000_csv_Run-1050.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-1132.parquet,1.0inch,train
18027,70,1.5inch-#2000_csv_Run-1538.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-673.parquet,0.5inch,val
20001,70,1.0inch-#2000_csv_Run-1734.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-1999.parquet,1.0inch,val
20001,70,1.5inch-#2000_csv_Run-1206.parquet,1.5inch,train
19625,70,1.5inch-#2000_csv_Run-759.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-1837.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-505.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-1426.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-1304.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-311.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-214.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-030.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-1741.parquet,0.5inch,test
20001,70,1.5inch-#2000_csv_Run-284.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-736.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-858.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-1643.parquet,1.0inch,test
20001,70,1.0inch-#2000_csv_Run-821.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-1073.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-737.parquet,0.5inch,train
18843,70,1.5inch-#2000_csv_Run-843.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-318.parquet,0.5inch,train
20001,70,1.5inch-#2000_csv_Run-1783.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-1477.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-1681.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-1583.parquet,1.0inch,test
20001,70,1.0inch-#2000_csv_Run-1134.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-061.parquet,1.0inch,train
15015,70,1.5inch-#2000_csv_Run-749.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-321.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-360.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-1091.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-134.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-612.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-026.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-920.parquet,0.5inch,train
20001,70,1.5inch-#2000_csv_Run-824.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-1824.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-000.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-1772.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-1813.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-563.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-628.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-1245.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-1564.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-1895.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-1092.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-1590.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-409.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-337.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-295.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-826.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-1288.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-1721.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-1774.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-369.parquet,1.5inch,val
20001,70,1.5inch-#2000_csv_Run-535.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-905.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-1130.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-523.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-1576.parquet,1.5inch,train
20001,70,1.5inch-#2000_csv_Run-001.parquet,1.5inch,train
20001,70,1.5inch-#2000_csv_Run-058.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-1841.parquet,0.5inch,val
20001,70,0.5inch-#2000_csv_Run-1764.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-1367.parquet,0.5inch,val
16660,70,1.5inch-#2000_csv_Run-822.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-1954.parquet,0.5inch,train
20001,70,1.5inch-#2000_csv_Run-1719.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-829.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-1587.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-405.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-1870.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-1132.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-1772.parquet,1.0inch,val
20001,70,0.5inch-#2000_csv_Run-1706.parquet,0.5inch,train
16180,70,1.5inch-#2000_csv_Run-1944.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-1741.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-960.parquet,1.5inch,test
20001,70,1.0inch-#2000_csv_Run-1208.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-1431.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-191.parquet,0.5inch,train
19958,70,1.5inch-#2000_csv_Run-1401.parquet,1.5inch,train
20001,70,1.5inch-#2000_csv_Run-1126.parquet,1.5inch,train
20001,70,1.5inch-#2000_csv_Run-083.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-1805.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-285.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-816.parquet,1.0inch,test
20001,70,1.5inch-#2000_csv_Run-1760.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-428.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-150.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-118.parquet,0.5inch,train
20001,70,1.5inch-#2000_csv_Run-1230.parquet,1.5inch,val
20001,70,1.0inch-#2000_csv_Run-016.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-790.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-264.parquet,0.5inch,val
20001,70,1.0inch-#2000_csv_Run-948.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-656.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-836.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-1080.parquet,0.5inch,val
20001,70,0.5inch-#2000_csv_Run-779.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-1473.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-1223.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-404.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-680.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-831.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-031.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-643.parquet,0.5inch,train
12702,70,1.5inch-#2000_csv_Run-099.parquet,1.5inch,train
20001,70,1.5inch-#2000_csv_Run-651.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-1229.parquet,0.5inch,test
19908,70,1.5inch-#2000_csv_Run-619.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-1719.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-718.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-1543.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-1126.parquet,0.5inch,train
18061,70,1.5inch-#2000_csv_Run-724.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-1491.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-1612.parquet,0.5inch,train
20001,70,1.5inch-#2000_csv_Run-598.parquet,1.5inch,test
20001,70,1.0inch-#2000_csv_Run-040.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-1848.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-661.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-018.parquet,0.5inch,val
20001,70,1.5inch-#2000_csv_Run-952.parquet,1.5inch,val
20001,70,0.5inch-#2000_csv_Run-1442.parquet,0.5inch,train
20001,70,1.5inch-#2000_csv_Run-1332.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-878.parquet,0.5inch,train
20001,70,1.5inch-#2000_csv_Run-389.parquet,1.5inch,train
20001,70,1.5inch-#2000_csv_Run-399.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-375.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-1626.parquet,1.0inch,train
20001,70,1.5inch-#2000_csv_Run-258.parquet,1.5inch,train
20001,70,0.5inch-#2000_csv_Run-1864.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-1534.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-1866.parquet,0.5inch,train
20001,70,1.5inch-#2000_csv_Run-1407.parquet,1.5inch,train
20001,70,1.0inch-#2000_csv_Run-1233.parquet,1.0inch,test
20001,70,0.5inch-#2000_csv_Run-1668.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-086.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-1986.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-355.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-1256.parquet,0.5inch,train
20001,70,1.0inch-#2000_csv_Run-1220.parquet,1.0inch,train
20001,70,1.0inch-#2000_csv_Run-1356.parquet,1.0inch,val
20001,70,1.0inch-#2000_csv_Run-663.parquet,1.0inch,train
20001,70,0.5inch-#2000_csv_Run-616.parquet,0.5inch,train
20001,70,0.5inch-#2000_csv_Run-914.parquet,0.5inch,train
